Comment,Designator,Footprint,LCSC
10uH,"L2,L3,L4,L5",L_0805_2012Metric,C1046
74LVC1G04,"U6,U7",SOT-23-5,C12509
 100nF,"C19,C20,C23,C24",C_0603_1608Metric,C14663
1uF,"C16,C18,C27,C28",C_0603_1608Metric,C15849
10K,"R17,R18",R_0805_2012Metric,C17414
0R,"R5,R7",R_0805_2012Metric,C17477
2K2,"R34,R35,R37,R38",R_0805_2012Metric,C17520
300R,"R32,R33,R40,R41",R_1206_3216Metric,C17887
100R,"R28,R31",R_1206_3216Metric,C17901
120R,"R36,R39",R_1206_3216Metric,C17909
22R,"R26,R27,R29,R30",R_1206_3216Metric,C17958
ISO308xDWR,"U11,U9",SOIC-16W_7.5x10.3mm_P1.27mm,C21710
Blue,D3,LED_0805_2012Metric,C2293
Green,D2,LED_0805_2012Metric,C2297
3K,"R1,R2,R20,R21,R22,R23,R3,R4",R_0805_2012Metric,C26010
4.7uF,"C15,C17,C21,C22,C25,C26",C_1206_3216Metric,C29823
SM712_SOT23,"D11,D12",SOT-23,C32677
White,D4,LED_0805_2012Metric,C34499
Red,D1,LED_0805_2012Metric,C84256
Conn_02x01,J15,PinHeader_1x02_P2.54mm_Vertical,
Conn_02x01,J14,PinHeader_1x02_P2.54mm_Vertical,
Conn_02x01,J13,PinHeader_1x02_P2.54mm_Vertical,
Conn_02x01,J12,PinHeader_1x02_P2.54mm_Vertical,
Conn_02x01,J11,PinHeader_1x02_P2.54mm_Vertical,
Conn_02x01,J10,PinHeader_1x02_P2.54mm_Vertical,
DNP/10K,R6,R_0805_2012Metric,
Screw_Terminal_01x02,J16,TerminalBlock_bornier-2_P5.08mm,
Digital,J7,PinSocket_2x18_P2.54mm_Vertical,
Power,J1,PinSocket_1x08_P2.54mm_Vertical,
Analog,J3,PinSocket_1x08_P2.54mm_Vertical,
Analog,J5,PinSocket_1x08_P2.54mm_Vertical,
PWM,J2,PinSocket_1x10_P2.54mm_Vertical,
PWM,J4,PinSocket_1x08_P2.54mm_Vertical,
Communication,J6,PinSocket_1x08_P2.54mm_Vertical,
Screw_Terminal_01x03,J8,TerminalBlock_bornier-3_P5.08mm,
CRE1S0505SC,U10,Converter_DCDC_muRata_CRE1xxxxxxSC_THT,
DNP/10K,R24,R_0805_2012Metric,
CRE1S0505SC,U8,Converter_DCDC_muRata_CRE1xxxxxxSC_THT,
Screw_Terminal_01x03,J9,TerminalBlock_bornier-3_P5.08mm,
