Comment,Designator,Footprint,LCSC
"4.7uF","C15,C17,C21,C22,C25,C26","Capacitor_SMD:C_1206_3216Metric","C29823"
"1uF","C16,C18,C27,C28","Capacitor_SMD:C_0603_1608Metric","C15849"
" 100nF","C19,C20,C23,C24","Capacitor_SMD:C_0603_1608Metric","C14663"
"Red","D1","LED_SMD:LED_0805_2012Metric","C84256"
"SM712_SOT23","D11,D12","Package_TO_SOT_SMD:SOT-23","C32677"
"Green","D2","LED_SMD:LED_0805_2012Metric","C2297"
"Blue","D3","LED_SMD:LED_0805_2012Metric","C2293"
"White","D4","LED_SMD:LED_0805_2012Metric","C34499"
"Power","J1","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"Conn_02x01","J10,J11,J12,J13,J14,J15","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Screw_Terminal_01x02","J16","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"PWM","J2","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical",""
"Analog","J3,J5","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"PWM","J4","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"Communication","J6","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"Digital","J7","Connector_PinSocket_2.54mm:PinSocket_2x18_P2.54mm_Vertical",""
"Screw_Terminal_01x03","J8,J9","TerminalBlock:TerminalBlock_bornier-3_P5.08mm",""
"10uH","L2,L3,L4,L5","Inductor_SMD:L_0805_2012Metric","C1046"
"3K","R1,R2,R3,R4","Resistor_SMD:R_0805_2012Metric","C26010"
"10K","R17,R18","Resistor_SMD:R_0805_2012Metric","C17414"
"3K3","R20,R21,R22,R23","Resistor_SMD:R_0805_2012Metric","C26010"
"22R","R26,R27,R29,R30","Resistor_SMD:R_1206_3216Metric","C17958"
"100R","R28,R31","Resistor_SMD:R_1206_3216Metric","C17901"
"300R","R32,R33,R40,R41","Resistor_SMD:R_1206_3216Metric","C17887"
"2K2","R34,R35,R37,R38","Resistor_SMD:R_0805_2012Metric","C17520"
"120R","R36,R39","Resistor_SMD:R_1206_3216Metric","C17909"
"0R","R5,R7","Resistor_SMD:R_0805_2012Metric","C17477"
"DNP/10K","R6,R24","Resistor_SMD:R_0805_2012Metric",""
"74LVC1G04","U6,U7","Package_TO_SOT_SMD:SOT-23-5","C12509"
"CRE1S0505SC","U8,U10","Converter_DCDC:Converter_DCDC_muRata_CRE1xxxxxxSC_THT",""
"ISO308xDWR","U9,U11","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","C21710"
